block_id,page,section,text,language,block_type,status,pair_id
p001_b0001,1,,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p001_b0002,1,,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p001_b0003,1,,页次Page No.： 第1页共83页,mixed,paragraph,unpaired,
p001_b0004,1,,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p001_b0007,1,,医科创建有限公司,zh,paragraph,unpaired,
p001_b0008,1,,Nex Medical Limited,en,paragraph,unpaired,
p001_b0009,1,,Medifabrica Limited,en,paragraph,unpaired,
p001_b0010,1,,MediConcepts Limited,en,paragraph,unpaired,
p001_b0011,1,,医创建科技（深圳）有限公司,zh,paragraph,unpaired,
p001_b0012,1,,MediConcepts Technology,en,paragraph,unpaired,
p001_b0013,1,,(Shenzhen) Company Limited,en,paragraph,unpaired,
p001_b0014,1,,"备注: 本手册以双语表述, 若中文与英文意思有不同, 请按照中文的意思执行。 Note: This manual is available in both Chinese and English versions. In the event of any inconsistency between",mixed,paragraph,unpaired,
p001_b0015,1,,"the two versions, the Chinese language version shall prevail.",en,paragraph,unpaired,
p001_b0017,1,,编写Prepared by:日期Date:,mixed,paragraph,unpaired,
p001_b0019,1,,职位TITLE 姓名NAME 签名SIGNATURE 日期DATE,mixed,paragraph,unpaired,
p001_b0020,1,,评审,zh,paragraph,unpaired,
p001_b0021,1,,总经理,zh,paragraph,unpaired,
p001_b0022,1,,Reviewed by,en,paragraph,unpaired,
p001_b0023,1,,General Manager Gene Tang,en,paragraph,unpaired,
p001_b0025,1,,职位TITLE 姓名NAME 签名SIGNATURE 日期DATE,mixed,paragraph,unpaired,
p001_b0026,1,,批准,zh,paragraph,unpaired,
p001_b0027,1,,董事总经理,zh,paragraph,unpaired,
p001_b0028,1,,Approved by,en,paragraph,unpaired,
p001_b0029,1,,Managing Director Benjamin Chan,en,paragraph,unpaired,
p002_b0001,2,,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p002_b0002,2,,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p002_b0003,2,,页次Page No.： 第2页共83页,mixed,paragraph,unpaired,
p002_b0004,2,,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p002_b0006,2,,更改历史记录History of Change,mixed,paragraph,unpaired,
p002_b0008,2,,版本,zh,paragraph,unpaired,
p002_b0009,2,,更改描述,zh,paragraph,unpaired,
p002_b0010,2,,生效日期,zh,paragraph,unpaired,
p002_b0011,2,,Rev.,en,paragraph,unpaired,
p002_b0012,2,,Change description,en,paragraph,unpaired,
p002_b0013,2,,Effective Date,en,paragraph,unpaired,
p002_b0014,2,,A 首次发行 First issue 1-Apr-2010,mixed,paragraph,unpaired,
p002_b0015,2,,RL 将会被加入到MC 集团的质量管理体系程序里面，编辑如下：,mixed,paragraph,unpaired,
